name;category;protein;vegetables;starches;dairy_products;sauce;price;nutri_score;id
Crispy Cod with mushrooms & bulgur;Fish;cod;mushrooms | onions | bell peppers;bulgur;ricotta;lemon herb sauce;5.10;A;1
Pork quinoa plate with cauliflower;Red meat;pork;cauliflower;quinoa;feta;soy sauce;5.30;A;2
Grilled Anchovies over sweet potatoes;Fish;anchovies;green beans;sweet potatoes;feta;soy sauce;5.00;A;3
Turkey in basil sauce over quinoa;Poultry;turkey;cabbage | mushrooms | celery;quinoa;mozzarella;basil sauce;5.30;A;4
Sausage in tomato sauce over wild rice;Red meat;sausage;squash | tomatoes;wild rice;none;tomato sauce;5.20;A;5
Chicken barley plate with bell peppers;Poultry;chicken;bell peppers | broccoli | asparagus;barley;cottage cheese;soy sauce;5.30;A;6
Duck with pasta and asparagus;Poultry;duck;asparagus;pasta;mozzarella;basil sauce;5.30;A;7
Black beans and eggplant gnocchi mix;Vegetarian;black beans;eggplant | celery;gnocchi;cottage cheese;pesto;5.40;A;8
Tangy Kidney beans over rice;Vegetarian;kidney beans;squash | beetroot;rice;none;olive oil dressing;5.00;A;9
Cod with vegetables & wild rice;Fish;cod;broccoli | mushrooms | cabbage;wild rice;none;tahini sauce;5.00;A;10
Trout in chimichurri over udon noodles;Fish;trout;spinach | cabbage | peas;udon noodles;none;chimichurri;5.30;A;11
Cod with wild rice and cabbage;Fish;cod;cabbage | squash | green beans;wild rice;mozzarella;pesto;5.10;A;12
Veal barley plate with onions;Red meat;veal;onions | asparagus | leeks;barley;ricotta;soy sauce;5.10;A;13
Crispy Kidney beans over polenta;Vegetarian;kidney beans;sweet corn | leeks;polenta;ricotta;tahini sauce;5.10;A;14
Hake in tomato sauce over rice;Fish;hake;sweet corn;rice;cottage cheese;tomato sauce;5.50;A;15
Zesty Lentils over rice;Vegetarian;lentils;sweet corn | asparagus;rice;greek yogurt;olive oil dressing;5.10;A;16
Sesame Seared tuna with squash & wild rice;Fish;seared tuna;squash | eggplant;wild rice;cottage cheese;olive oil dressing;5.10;A;17
Black beans and beetroot polenta mix;Vegetarian;black beans;beetroot;polenta;feta;basil sauce;5.30;A;18
Shrimp tempura with couscous and celery;Shellfish;shrimp tempura;celery | leeks | kale;couscous;none;ginger soy glaze;5.30;A;19
Lamb over sweet potatoes;Red meat;lamb;cabbage;sweet potatoes;greek yogurt;pesto;5.10;A;20
Sesame Salmon bowl with carrots;Fish;salmon;carrots;couscous;none;tahini sauce;5.30;A;21
Beef in olive oil dressing over gnocchi;Red meat;beef;zucchini | bell peppers;gnocchi;none;olive oil dressing;5.00;A;22
Smoky Mackerel bowl with squash;Fish;mackerel;squash | beetroot;rice;mozzarella;lemon herb sauce;5.30;A;23
Mediterranean Steak strips bowl;Red meat;steak strips;celery | kale | cauliflower;bulgur;greek yogurt;chimichurri;5.20;A;24
Chicken with broccoli & wild rice;Poultry;chicken;broccoli;wild rice;feta;basil sauce;5.50;A;25
Shrimp tempura over wild rice;Shellfish;shrimp tempura;eggplant | carrots;wild rice;cottage cheese;olive oil dressing;5.30;A;26
Lentils with potatoes and tomatoes;Vegetarian;lentils;tomatoes;potatoes;cottage cheese;soy sauce;5.30;A;27
Seared tuna with rice and sweet corn;Fish;seared tuna;sweet corn | broccoli | celery;rice;cottage cheese;soy sauce;5.10;A;28
Eggs and broccoli brown rice mix;Vegetarian;eggs;broccoli | carrots;brown rice;ricotta;chimichurri;5.40;A;29
Chicken bowl with sweet corn;Poultry;chicken;sweet corn;sweet potatoes;greek yogurt;olive oil dressing;5.50;A;30
Beef with potatoes, tomatoes and celery;Red meat;beef;celery | tomatoes;potatoes;cottage cheese;olive oil dressing;5.20;A;31
Chicken gnocchi plate with eggplant;Poultry;chicken;eggplant | kale;gnocchi;cottage cheese;tahini sauce;5.10;A;32
Meatballs with couscous & vegetables;Red meat;meatballs;carrots | cauliflower | eggplant;couscous;greek yogurt;basil sauce;5.30;A;33
Anchovies barley plate with eggplant;Fish;anchovies;eggplant | bell peppers | cauliflower;barley;mozzarella;basil sauce;5.30;A;34
Mediterranean Seared tuna bowl with squash;Fish;seared tuna;squash | tomatoes;couscous;mozzarella;lemon herb sauce;5.10;A;35
Quinoa bowl with black beans & vegetables;Vegetarian;black beans;kale | squash | carrots;quinoa;ricotta;tahini sauce;5.00;A;36
Tempeh and beetroot wild rice mix;Vegetarian;tempeh;beetroot;wild rice;mozzarella;olive oil dressing;5.50;A;37
Chicken in basil sauce over pasta;Poultry;chicken;spinach;pasta;feta;basil sauce;5.30;A;38
Seared tuna bowl with vegetables & rice;Fish;seared tuna;kale | cauliflower | leeks;rice;ricotta;tomato sauce;5.50;A;39
Herb Calamari with tomatoes & potatoes;Shellfish;calamari;tomatoes;potatoes;none;basil sauce;5.20;A;40
Crispy Shrimp tempura bowl with beetroot;Shellfish;shrimp tempura;beetroot | spinach | kale;barley;feta;basil sauce;5.20;A;41
Tempeh bowl with bulgur & vegetables;Vegetarian;tempeh;carrots | squash;bulgur;mozzarella;soy sauce;5.20;A;42
