name;category;protein;vegetables;starches;dairy_products;sauce;price;nutri_score;id
Salade poulet César ;Salades;Poulet;Laitue | Tomates cerises;Croûtons;Parmesan;Vinaigrette;4.99 €;B;1
Salade italian style;Salades;Poulet;Laitue | Tomates cerises | Concombre | Olives;Non;Parmesan;Sauce pesto;4.99 €;B;2
Salade jambon & fromage;Salades;Jambon | Oeufs;Laitue | Concombre | Raisins secs;Croûtons;Gouda;Vinaigrette;4.99 €;B;3
Salade thaïlandaise;Salades;Crevettes;Laitue | Radis | Carottes | Haricots verts | Concombre;Nouilles;Non;Vinaigrette orientale;4.99 €;A;4
Salade au thon;Salades;Thon | Oeufs;Laitue | Tomates cerises | Haricots verts | Oignons;Pommes de terre;Non;Vinaigrette;4.99 €;A;5
Salade au poulet;Salades;Poulet;Laitue | Poivrons | Carottes | Radis | Chou;Pâtes;Non;Vinaigrette;4.99 €;A;6
Salade libanaise;Salades;Falafels;Épinards | Carottes | Poivrons | Oignons | Roquette;Couscous;Non;Vinaigrette orientale;4.99 €;A;7
Salade de pâtes au thon;Salades;Thon | Oeufs;Tomates cerises | Oignons | Olives;Pâtes;Non;Vinaigrette;4.99 €;A;8
Salade de chou blanc et pommes;Salades;Non;Chou | Pommes | Oignons | Noix;Non;Non;Vinaigrette;4.99 €;A;9
Salade de brocoli & chou-fleur;Salades;Non;Brocoli | Chou-fleur | Chou | Radis | Concombre | Oignons;Non;Non;Vinaigrette;4.99 €;A;10
Salade de chou blanc et poireaux;Salades;Non;Chou | Carottes | Poireaux | Oignons;Non;Non;Vinaigrette;4.99 €;A;11
Salade composée au bacon;Salades;Bacon | Oeufs;Laitue | Tomates cerises | Oignons;Croûtons;Non;Vinaigrette;4.99 €;B;12
Salade composée au saumon;Salades;Saumon;Laitue | Tomates cerises | Concombre | Edamame | Oignons;Pâtes;Non;Vinaigrette;4.99 €;A;13
Salade de poulet au curry;Salades;Poulet;Laitue | Tomates cerises | Carottes | Pois chiches | Raisins secs | Poivrons | Olives;Couscous;Non;Sauce au curry;4.99 €;B;14
Salade mexicaine;Salades;Poulet;Laitue | Haricots rouges | Avocat | Épinards | Tomates | Poivrons;Nachos;Non;Vinaigrette;4.99 €;A;15
Salade de pâtes au poulet et bacon;Salades;Poulet | Bacon;Tomates | Oignons | Épinards | Basilic;Pâtes;Non;Vinaigrette;4.99 €;A;16
Salade de betteraves rouges et pommes;Salades;Non;Betteraves rouges | Pommes | Oignons;Non;Non;Vinaigrette;4.99 €;A;17
Salade de chou blanc et carottes (Coleslaw);Salades;Non;Chou | Carottes | Oignons;Non;Non;Vinaigrette;4.99 €;A;18
Salade de pommes de terre;Salades;Non;Oignons;Pommes de terre;Non;Mayonnaise;4.99 €;C;19
Salade de concombre;Salades;Non;Concombre | Oignons;Non;Non;Sauce yaourt;4.99 €;B;20
Salade de pêches au thon;Salades;Thon | Oeufs;Laitue |  Maïs | Tomates cerises | Pêches;Pommes de terre;Non;Mayonnaise;4.99 €;B;21
Salade de poulet, pommes et curry;Salades;Poulet;Laitue | Concombre | Haricots verts | Pommes | Amandes;Riz;Non;Sauce au curry;4.99 €;A;22
Salade composée aux scampis;Salades;Scampis;Laitue | Poivrons | Concombre | Oignons | Carottes | Radis | Chou;Pâtes;Non;Vinaigrette;4.99 €;A;23
Salade de pâtes au jambon;Salades;Jambon;Tomates | Maïs;Pâtes;Non;Mayonnaise;4.99 €;B;24
Salade de poulet et bacon;Salades;Poulet | Bacon;Laitue | Tomates;Croûtons;Non;Vinaigrette;4.99 €;B;25
Salade tomates et mozzarella;Salades;Non;Laitue | Tomates | Poivrons | Olives;Pâtes;Mozzarella;Vinaigrette;4.99 €;C;26
Salade composée au fromage de chèvre;Salades;Non;Laitue | Betteraves rouges | Chou | Noix | Raisins secs;Pâtes;Fromage de chèvre;Vinaigrette;4.99 €;C;27
Salade de pâtes au poulet;Salades;Poulet;Poivrons | Carottes | Roquette;Pâtes;Non;Vinaigrette;4.99 €;A;28
Salade de poulet et thon;Salades;Poulet | Thon;Tomates séchées | Roquette;Pâtes;Non;Mayonnaise;4.99 €;C;29
