id;dish_name;meal_category;protein_main;vegetables;starches;sauce;dairy;protein_category;nutriscore_calculated;Price
1;Crispy Cod with mushrooms & bulgur;Fish;cod;mushrooms | onions | bell peppers;bulgur;lemon herb sauce;ricotta;Fish;A;5.10
2;Pork quinoa plate with cauliflower;Red meat;pork;cauliflower;quinoa;soy sauce;feta;Red meat;A;5.30
3;Grilled Anchovies over sweet potatoes;Fish;anchovies;green beans;sweet potatoes;soy sauce;feta;Fish;A;5.00
4;Turkey in basil sauce over quinoa;Poultry;turkey;cabbage | mushrooms | celery;quinoa;basil sauce;mozzarella;Poultry;A;5.30
5;Sausage in tomato sauce over wild rice;Red meat;sausage;squash | tomatoes;wild rice;tomato sauce;none;Red meat;A;5.20
6;Chicken barley plate with bell peppers;Poultry;chicken;bell peppers | broccoli | asparagus;barley;soy sauce;cottage cheese;Poultry;A;5.30
7;Duck with pasta and asparagus;Poultry;duck;asparagus;pasta;basil sauce;mozzarella;Poultry;A;5.30
8;Black beans and eggplant gnocchi mix;Vegetarian;black beans;eggplant | celery;gnocchi;pesto;cottage cheese;Vegetarian;A;5.40
9;Tangy Kidney beans over rice;Vegetarian;kidney beans;squash | beetroot;rice;olive oil dressing;none;Vegetarian;A;5.00
10;Cod with vegetables & wild rice;Fish;cod;broccoli | mushrooms | cabbage;wild rice;tahini sauce;none;Fish;A;5.00
11;Trout in chimichurri over udon noodles;Fish;trout;spinach | cabbage | peas;udon noodles;chimichurri;none;Fish;A;5.30
12;Cod with wild rice and cabbage;Fish;cod;cabbage | squash | green beans;wild rice;pesto;mozzarella;Fish;A;5.10
13;Veal barley plate with onions;Red meat;veal;onions | asparagus | leeks;barley;soy sauce;ricotta;Red meat;A;5.10
14;Crispy Kidney beans over polenta;Vegetarian;kidney beans;sweet corn | leeks;polenta;tahini sauce;ricotta;Vegetarian;A;5.10
15;Hake in tomato sauce over rice;Fish;hake;sweet corn;rice;tomato sauce;cottage cheese;Fish;A;5.50
16;Zesty Lentils over rice;Vegetarian;lentils;sweet corn | asparagus;rice;olive oil dressing;greek yogurt;Vegetarian;A;5.10
17;Sesame Seared tuna with squash & wild rice;Fish;seared tuna;squash | eggplant;wild rice;olive oil dressing;cottage cheese;Fish;A;5.10
18;Black beans and beetroot polenta mix;Vegetarian;black beans;beetroot;polenta;basil sauce;feta;Vegetarian;A;5.30
19;Shrimp tempura with couscous and celery;Shellfish;shrimp tempura;celery | leeks | kale;couscous;ginger soy glaze;none;Shellfish;A;5.30
20;Lamb over sweet potatoes;Red meat;lamb;cabbage;sweet potatoes;pesto;greek yogurt;Red meat;A;5.10
21;Sesame Salmon bowl with carrots;Fish;salmon;carrots;couscous;tahini sauce;none;Fish;A;5.30
22;Beef in olive oil dressing over gnocchi;Red meat;beef;zucchini | bell peppers;gnocchi;olive oil dressing;none;Red meat;A;5.00
23;Smoky Mackerel bowl with squash;Fish;mackerel;squash | beetroot;rice;lemon herb sauce;mozzarella;Fish;A;5.30
24;Mediterranean Steak strips bowl;Red meat;steak strips;celery | kale | cauliflower;bulgur;chimichurri;greek yogurt;Red meat;A;5.20
25;Chicken with broccoli & wild rice;Poultry;chicken;broccoli;wild rice;basil sauce;feta;Poultry;A;5.50
26;Shrimp tempura over wild rice;Shellfish;shrimp tempura;eggplant | carrots;wild rice;olive oil dressing;cottage cheese;Shellfish;A;5.30
27;Lentils with potatoes and tomatoes;Vegetarian;lentils;tomatoes;potatoes;soy sauce;cottage cheese;Vegetarian;A;5.30
28;Seared tuna with rice and sweet corn;Fish;seared tuna;sweet corn | broccoli | celery;rice;soy sauce;cottage cheese;Fish;A;5.10
29;Eggs and broccoli brown rice mix;Vegetarian;eggs;broccoli | carrots;brown rice;chimichurri;ricotta;Vegetarian;A;5.40
30;Chicken bowl with sweet corn;Poultry;chicken;sweet corn;sweet potatoes;olive oil dressing;greek yogurt;Poultry;A;5.50
31;Beef with potatoes, tomatoes and celery;Red meat;beef;celery | tomatoes;potatoes;olive oil dressing;cottage cheese;Red meat;A;5.20
32;Chicken gnocchi plate with eggplant;Poultry;chicken;eggplant | kale;gnocchi;tahini sauce;cottage cheese;Poultry;A;5.10
33;Meatballs with couscous & vegetables;Red meat;meatballs;carrots | cauliflower | eggplant;couscous;basil sauce;greek yogurt;Red meat;A;5.30
