condition_id;user_id;reco_type;interaction;rank;product_id;product_name;nutri_score;nutri_score_numeric;mean_nutri_top5;
4;56a8059fc897370006237090;content_based_unbiased;1;1;499;Sausage with mac and cheese and broccoli;E;1;1.6;
4;56a8059fc897370006237090;content_based_unbiased;1;2;485;Bbq ribs with cheesy potatoes ;E;1;1.6;
4;56a8059fc897370006237090;content_based_unbiased;1;3;535;Lamb in ranch sauce over butter rice;E;1;1.6;
4;56a8059fc897370006237090;content_based_unbiased;1;4;218;Tangy Beef over brown rice;B;4;1.6;
4;56a8059fc897370006237090;content_based_unbiased;1;5;538;Pork with buttery mashed potatoes and asparagus;E;1;1.6;
4;56a8059fc897370006237090;content_based_unbiased;2;1;541;Beef and buttered corn butter rice mix;E;1;1.8;Nutri Score moyen le plus haut
4;56a8059fc897370006237090;content_based_unbiased;2;2;572;Roasted ham and spinach mac and cheese mix;E;1;1.8;
4;56a8059fc897370006237090;content_based_unbiased;2;3;522;Sesame Bbq ribs bowl with eggplant;E;1;1.8;
4;56a8059fc897370006237090;content_based_unbiased;2;4;221;Meatballs with brown rice, squash, zucchini & leeks;B;4;1.8;
4;56a8059fc897370006237090;content_based_unbiased;2;5;464;Crispy Beef over butter rice;D;2;1.8;
4;56a8059fc897370006237090;content_based_unbiased;3;1;596;Pork in four cheese sauce over butter rice;E;1;1.2;
4;56a8059fc897370006237090;content_based_unbiased;3;2;507;Roasted ham in bbq sauce over loaded fries;E;1;1.2;
4;56a8059fc897370006237090;content_based_unbiased;3;3;512;Cheesy meatballs bowl with vegetables;E;1;1.2;
4;56a8059fc897370006237090;content_based_unbiased;3;4;533;Steak strips and tomatoes fried rice mix;E;1;1.2;
4;56a8059fc897370006237090;content_based_unbiased;3;5;446;Veal and spinach cheesy potatoes mix;D;2;1.2;
4;56a8059fc897370006237090;multistakeholder;1;1;218;Tangy Beef over brown rice;B;4;3.4;biais =  + 1.6
4;56a8059fc897370006237090;multistakeholder;1;2;167;Grilled Meatballs over brown rice;B;4;3.4;
4;56a8059fc897370006237090;multistakeholder;1;3;213;Crispy pork with quinoa, green beans & mushrooms;B;4;3.4;
4;56a8059fc897370006237090;multistakeholder;1;4;499;Sausage with mac and cheese and broccoli;E;1;3.4;Erreur = +0.1
4;56a8059fc897370006237090;multistakeholder;1;5;228;Pork in olive oil dressing over gnocchi;B;4;3.4;
4;56aa2ab9402d62000c7096f2;content_based_unbiased;1;1;445;Fried chicken over butter rice;D;2;1.8;
4;56aa2ab9402d62000c7096f2;content_based_unbiased;1;2;375;Duck and buttered corn mac and cheese mix;D;2;1.8;
4;56aa2ab9402d62000c7096f2;content_based_unbiased;1;3;371;Turkey with creamy pasta, peas, asparagus & tomatoes;D;2;1.8;
4;56aa2ab9402d62000c7096f2;content_based_unbiased;1;4;373;Duck with loaded fries and bell peppers;D;2;1.8;
4;56aa2ab9402d62000c7096f2;content_based_unbiased;1;5;589;Creamy smoked turkey bowl with cabbage;E;1;1.8;
4;56aa2ab9402d62000c7096f2;content_based_unbiased;2;1;397;Turkey with loaded fries, leeks & creamed spinach;D;2;2.0;
4;56aa2ab9402d62000c7096f2;content_based_unbiased;2;2;374;Smoked turkey over loaded fries;D;2;2.0;
4;56aa2ab9402d62000c7096f2;content_based_unbiased;2;3;401;Duck in cream sauce over cheesy potatoes;D;2;2.0;
4;56aa2ab9402d62000c7096f2;content_based_unbiased;2;4;480;Creamy Turkey with zucchini & butter rice;D;2;2.0;
4;56aa2ab9402d62000c7096f2;content_based_unbiased;2;5;433;Mediterranean Smoked turkey with fried onions & garlic butter noodles;D;2;2.0;
4;56aa2ab9402d62000c7096f2;content_based_unbiased;3;1;406;Turkey in bbq sauce over buttery mashed potatoes;D;2;2.2;Nutri Score moyen le plus haut
4;56aa2ab9402d62000c7096f2;content_based_unbiased;3;2;417;Mediterranean Turkey over cheesy potatoes;D;2;2.2;
4;56aa2ab9402d62000c7096f2;content_based_unbiased;3;3;393;Buttery Fried chicken with fried peppers & mac and cheese;D;2;2.2;
4;56aa2ab9402d62000c7096f2;content_based_unbiased;3;4;390;Roasted Duck bowl with fried peppers;D;2;2.2;
4;56aa2ab9402d62000c7096f2;content_based_unbiased;3;5;303;Duck with potatoes and zucchini;C;3;2.2;
4;56aa2ab9402d62000c7096f2;multistakeholder;1;1;25;Chicken with broccoli & wild rice;A;5;3.8;biais =  + 1.6
4;56aa2ab9402d62000c7096f2;multistakeholder;1;2;6;Chicken barley plate with bell peppers;A;5;3.8;
4;56aa2ab9402d62000c7096f2;multistakeholder;1;3;445;Fried chicken over butter rice;D;2;3.8;
4;56aa2ab9402d62000c7096f2;multistakeholder;1;4;7;Duck with pasta and asparagus;A;5;3.8;Erreur = +0.1
4;56aa2ab9402d62000c7096f2;multistakeholder;1;5;375;Duck and buttered corn mac and cheese mix;D;2;3.8;
4;56b10faa6399f90011da710d;content_based_unbiased;1;1;210;Smoky meatballs with bulgur, green beans & sweet corn;B;4;1.6;Nutri Score moyen le plus haut
4;56b10faa6399f90011da710d;content_based_unbiased;1;2;538;Pork with buttery mashed potatoes and asparagus;E;1;1.6;
4;56b10faa6399f90011da710d;content_based_unbiased;1;3;587;Sausage with fried rice & vegetables in creamy sauce;E;1;1.6;
4;56b10faa6399f90011da710d;content_based_unbiased;1;4;499;Sausage with mac and cheese and broccoli;E;1;1.6;
4;56b10faa6399f90011da710d;content_based_unbiased;1;5;593;Bbq ribs mac and cheese plate with fried eggplant;E;1;1.6;
4;56b10faa6399f90011da710d;content_based_unbiased;2;1;522;Sesame Bbq ribs bowl with eggplant;E;1;1.6;
4;56b10faa6399f90011da710d;content_based_unbiased;2;2;572;Roasted ham and spinach mac and cheese mix;E;1;1.6;
4;56b10faa6399f90011da710d;content_based_unbiased;2;3;595;Mediterranean Meatballs with squash & creamy pasta;E;1;1.6;
4;56b10faa6399f90011da710d;content_based_unbiased;2;4;491;Meatballs and loaded fries mix;E;1;1.6;
4;56b10faa6399f90011da710d;content_based_unbiased;2;5;169;Grilled Pork over pasta;B;4;1.6;
4;56b10faa6399f90011da710d;content_based_unbiased;3;1;524;Sausage with garlic butter noodles & vegetables;E;1;1.0;
4;56b10faa6399f90011da710d;content_based_unbiased;3;2;586;Buttery Roasted ham with buttered corn & garlic butter noodles;E;1;1.0;
4;56b10faa6399f90011da710d;content_based_unbiased;3;3;503;Pork with mac and cheese, beetroot & fried eggplant;E;1;1.0;
4;56b10faa6399f90011da710d;content_based_unbiased;3;4;508;Zesty Meatballs bowl with creamed spinach;E;1;1.0;
4;56b10faa6399f90011da710d;content_based_unbiased;3;5;533;Steak strips and tomatoes fried rice mix;E;1;1.0;
4;56b10faa6399f90011da710d;multistakeholder;1;1;210;Smoky meatballs with bulgur, green beans & sweet corn;B;4;2.8;biais =  + 1.2
4;56b10faa6399f90011da710d;multistakeholder;1;2;225;Meatballs with bulgur, sweet corn, broccoli & onions;B;4;2.8;
4;56b10faa6399f90011da710d;multistakeholder;1;3;167;Grilled Meatballs over brown rice;B;4;2.8;
4;56b10faa6399f90011da710d;multistakeholder;1;4;538;Pork with buttery mashed potatoes and asparagus;E;1;2.8;Erreur = -0.3
4;56b10faa6399f90011da710d;multistakeholder;1;5;587;Sausage with fried rice & vegetables in creamy sauce;E;1;2.8;
4;574c1f935bef980010b0a080;content_based_unbiased;1;1;291;Cheese omelette bowl with beetroot;C;3;2.8;
4;574c1f935bef980010b0a080;content_based_unbiased;1;2;295;Roasted seitan with cheesy potatoes, caramelized onions, celery & squash;C;3;2.8;
4;574c1f935bef980010b0a080;content_based_unbiased;1;3;364;Fried tofu buttery mashed potatoes plate with creamed spinach;D;2;2.8;
4;574c1f935bef980010b0a080;content_based_unbiased;1;4;308;Lentils in soy sauce over loaded fries;C;3;2.8;
4;574c1f935bef980010b0a080;content_based_unbiased;1;5;349;Black beans fried rice plate with leeks;C;3;2.8;
4;574c1f935bef980010b0a080;content_based_unbiased;2;1;517;Cheese omelette creamy pasta plate with broccoli;E;1;2.2;
